timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1669997304.0,-10.344,0.9430000000000001,-4.634,-0.1076,-0.2346,-0.1628,0.074,0.025,0.048
1669997304.04,-10.252,0.842,-4.7170000000000005,-0.1097,-0.23650000000000002,-0.1642,0.034,0.032,0.06
1669997304.08,-10.293000000000001,0.964,-4.644,-0.1121,-0.23700000000000002,-0.1618,-0.031,0.016,0.076
1669997304.12,-10.355,0.933,-4.634,-0.10990000000000001,-0.2384,-0.16570000000000001,-0.041,0.007,0.067
1669997304.16,-10.358,0.966,-4.652,-0.10840000000000001,-0.2378,-0.16160000000000002,-0.048,0.02,0.058
1669997304.2,-10.36,1.056,-4.6370000000000005,-0.10890000000000001,-0.23600000000000002,-0.1635,-0.026000000000000002,0.037,0.037
1669997304.24,-10.388,1.0010000000000001,-4.7,-0.10930000000000001,-0.2373,-0.1628,-0.015,0.048,-0.008
1669997304.28,-10.331,0.9560000000000001,-4.691,-0.1071,-0.2374,-0.1622,-0.013000000000000001,0.05,-0.022
1669997304.32,-10.352,0.913,-4.668,-0.1087,-0.2364,-0.16570000000000001,-0.047,0.045,-0.01
1669997304.36,-10.311,0.937,-4.65,-0.108,-0.2384,-0.1627,-0.049,0.034,-0.02
1669997304.4,-10.353,0.929,-4.678,-0.109,-0.2374,-0.1633,-0.051000000000000004,0.037,-0.01
1669997304.44,-10.309000000000001,0.9480000000000001,-4.638,-0.1095,-0.2379,-0.163,-0.034,0.023,-0.014
1669997304.48,-10.368,0.9480000000000001,-4.695,-0.1101,-0.2384,-0.162,-0.017,0.028,0.0
1669997304.52,-10.357000000000001,0.9450000000000001,-4.634,-0.1102,-0.2378,-0.1613,-0.02,0.015,-0.006
1669997304.559999,-10.359,0.961,-4.585,-0.11030000000000001,-0.2378,-0.1593,-0.014,0.011,-0.005
1669997304.599999,-10.355,0.9490000000000001,-4.639,-0.108,-0.2384,-0.1615,-0.023,0.011,-0.002
1669997304.639999,-10.417,0.9420000000000001,-4.624,-0.1075,-0.2366,-0.1635,-0.004,0.036000000000000004,0.004
1669997304.6799989,-10.396,0.879,-4.67,-0.10880000000000001,-0.23600000000000002,-0.1605,-0.011,0.04,0.001
1669997304.719999,-10.349,0.894,-4.652,-0.1082,-0.2391,-0.16110000000000002,-0.001,0.024,0.002
1669997304.759999,-10.366,0.875,-4.656,-0.10790000000000001,-0.2366,-0.16110000000000002,-0.014,0.011,0.003
1669997304.799999,-10.391,0.9510000000000001,-4.642,-0.1091,-0.2356,-0.1597,-0.006,0.029,0.008
1669997304.839999,-10.33,0.867,-4.628,-0.10690000000000001,-0.2363,-0.16140000000000002,0.007,0.029,0.006
1669997304.879999,-10.35,1.006,-4.601,-0.1053,-0.2378,-0.16040000000000001,0.012,0.026000000000000002,0.011
1669997304.919999,-10.353,0.9390000000000001,-4.603,-0.1071,-0.23820000000000002,-0.1582,0.013000000000000001,0.03,0.018000000000000002
1669997304.959999,-10.38,0.971,-4.638,-0.1073,-0.23700000000000002,-0.16190000000000002,-0.007,0.027,0.016
